Position;Track Name;Artist;Streams;Date;Genre
63;The Box;Roddy Ricch;1183148;01.01.21;['melodic rap', 'rap', 'trap']
64;Si Me Tomo Una Cerveza;Migrantes;1175384;01.01.21;['cumbia pop']
65;Before You Go;Lewis Capaldi;1173020;01.01.21;['uk pop', 'pop']
66;Heather;Conan Gray;1171165;01.01.21;['bedroom pop', 'pop', 'alt z', 'post-teen pop', 'indie pop', 'electropop']
67;Holy (feat. Chance The Rapper);Justin Bieber;1170191;01.01.21;['canadian pop', 'post-teen pop', 'pop']
68;Ay, DiOs Mío!;KAROL G;1168278;01.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
69;Jeans;Justin Quiles;1158989;01.01.21;['trap latino', 'reggaeton', 'latin']
70;bad guy;Billie Eilish;1152498;01.01.21;['pop', 'electropop']
71;Paradise (feat. Dermot Kennedy);MEDUZA;1148824;01.01.21;['pop house', 'pop dance', 'tropical house', 'edm', 'dance pop']
72;Breaking Me;Topic;1144031;01.01.21;['german dance', 'pop dance', 'tropical house', 'edm', 'dance pop', 'pop edm']
73;Say So;Doja Cat;1135983;01.01.21;['pop', 'dance pop']
74;Body;Megan Thee Stallion;1123865;01.01.21;['trap queen', 'houston rap', 'pop rap', 'pop']
75;GIRL LIKE ME;Black Eyed Peas;1118833;01.01.21;['dance pop', 'pop rap', 'pop']
76;UN DIA (ONE DAY) (Feat. Tainy);J Balvin;1116377;01.01.21;['reggaeton colombiano', 'reggaeton', 'trap latino', 'latin']
77;Meia Noite (Você tem meu Whatsapp);Tarcísio do Acordeon;1115753;01.01.21;['forro', 'sertanejo pop', 'batidao romantico', 'funk carioca', 'piseiro', 'sertanejo', 'sertanejo universitario']
78;death bed (coffee for your head);Powfu;1111029;01.01.21;['sad rap']
79;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;1095377;01.01.21;['dfw rap', 'melodic rap', 'rap']
80;Parce (feat. Justin Quiles);Maluma;1088270;01.01.21;['reggaeton colombiano', 'reggaeton', 'latin']
81;Tattoo - Remix with Camilo;Rauw Alejandro;1082459;01.01.21;['puerto rican pop', 'trap latino']
82;Investe Em Mim;Jonas Esticado;1072347;01.01.21;['forro', 'sertanejo pop', 'sertanejo', 'sertanejo universitario']
83;Take You Dancing;Jason Derulo;1069080;01.01.21;['dance pop', 'pop', 'post-teen pop', 'pop rap']
84;Life Goes On;BTS;1059873;01.01.21;['k-pop boy group', 'k-pop']
85;Don't Stop Me Now - Remastered 2011;Queen;1049341;01.01.21;['glam rock', 'classic rock', 'rock']
86;Wishing Well;Juice WRLD;1041822;01.01.21;['melodic rap', 'chicago rap']
87;Nathy Peluso: Bzrp Music Sessions, Vol. 36;Bizarrap;1037827;01.01.21;['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']
88;Lucid Dreams;Juice WRLD;1024485;01.01.21;['melodic rap', 'chicago rap']
89;Wonder;Shawn Mendes;1020663;01.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
90;Tá Rocheda;Os Barões Da Pisadinha;1016049;01.01.21;['piseiro', 'forro']
91;Alô Ambev (Segue Sua Vida) - Ao Vivo;Zé Neto & Cristiano;1004993;01.01.21;"['Sorry', ""that one doesn't seem to be on any of these maps yet.""]"
92;Rita;Tierry;1003958;01.01.21;['sertanejo pop']
93;I Gotta Feeling;Black Eyed Peas;1003654;01.01.21;['dance pop', 'pop rap', 'pop']
94;Señorita;Shawn Mendes;999294;01.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
95;Memories;Maroon 5;997917;01.01.21;['pop', 'pop rock']
96;Adore You;Harry Styles;997161;01.01.21;['pop', 'post-teen pop']
97;Amor da Despedida;Os Barões Da Pisadinha;988408;01.01.21;['piseiro', 'forro']
98;SO DONE;The Kid LAROI;978031;01.01.21;['australian hip hop']
99;MODO TURBO;Luísa Sonza;975923;01.01.21;['pop nacional', 'funk carioca']
100;Golden;Harry Styles;965834;01.01.21;['pop', 'post-teen pop']
101;Shape of You;Ed Sheeran;958423;01.01.21;['uk pop', 'pop']
102;goosebumps;Travis Scott;954268;01.01.21;['slap house', 'rap']
103;Lance Individual;Jorge & Mateus;951717;01.01.21;['sertanejo universitario']
104;Life Is Good (feat. Drake);Future;951381;01.01.21;['rap', 'atl hip hop', 'trap', 'pop rap', 'southern hip hop']
105;pov;Ariana Grande;944883;01.01.21;['pop', 'post-teen pop', 'dance pop']
106;Hawái - Remix;Maluma;942530;01.01.21;['reggaeton colombiano', 'reggaeton', 'latin']
107;La Jeepeta - Remix;Nio Garcia;942101;01.01.21;['trap latino', 'reggaeton', 'latin']
108;lovely (with Khalid);Billie Eilish;934381;01.01.21;['pop', 'electropop']
109;Despeinada;Ozuna;925673;01.01.21;['puerto rican pop', 'trap latino', 'reggaeton', 'latin']
110;Bohemian Rhapsody - Remastered 2011;Queen;923989;01.01.21;['glam rock', 'classic rock', 'rock']
111;Come & Go (with Marshmello);Juice WRLD;922045;01.01.21;['melodic rap', 'chicago rap']
112;I Wanna Dance with Somebody (Who Loves Me);Whitney Houston;920815;01.01.21;['dance pop', 'urban contemporary', 'pop']
113;Hello (feat. A Boogie Wit da Hoodie);Pop Smoke;909979;01.01.21;['brooklyn drill']
114;Ele É Ele, Eu Sou Eu;Wesley Safadão;907571;01.01.21;['forro']
115;Letícia;Zé Vaqueiro;898359;01.01.21;['forro de favela']
116;Robbery;Juice WRLD;888403;01.01.21;['melodic rap', 'chicago rap']
117;Polvo;Nicky Jam;883344;01.01.21;['latin', 'reggaeton', 'latin hip hop', 'trap latino']
118;Falling;Trevor Daniel;883010;01.01.21;['melodic rap', 'pop rap', 'alternative r&b']
119;Sunday Best;Surfaces;880838;01.01.21;['bedroom soul', 'pop']
120;September;Earth, Wind & Fire;872621;01.01.21;"['Sorry', ""that one doesn't seem to be on any of these maps yet.""]"
121;Break My Heart;Dua Lipa;871785;01.01.21;['uk pop', 'pop', 'dance pop']
122;Reminds Me Of You;Juice WRLD;869653;01.01.21;['melodic rap', 'chicago rap']
123;Can't Hold Us - feat. Ray Dalton;Macklemore & Ryan Lewis;865972;01.01.21;['seattle hip hop', 'pop rap']
124;Ride It;Regard;865701;01.01.21;['slap house', 'pop dance', 'tropical house', 'edm', 'dance pop', 'pop edm']
125;Figurinha - Ao Vivo;Douglas & Vinicius;865531;01.01.21;"['Sorry', ""that one doesn't seem to be on any of these maps yet.""]"
126;Toosie Slide;Drake;858949;01.01.21;['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']
127;POPSTAR (feat. Drake);DJ Khaled;850408;01.01.21;['pop rap', 'rap', 'miami hip hop', 'southern hip hop', 'trap', 'hip hop']
128;Midnight Sky;Miley Cyrus;844772;01.01.21;['pop', 'post-teen pop', 'dance pop']
129;HIGHEST IN THE ROOM;Travis Scott;844535;01.01.21;['slap house', 'rap']
130;Head Shoulders Knees & Toes (feat. Norma Jean Martine);Ofenbach;844338;01.01.21;['tropical house', 'pop dance', 'new french touch', 'edm']
131;Kings & Queens;Ava Max;842326;01.01.21;['pop', 'dance pop', 'post-teen pop']
132;Shallow;Lady Gaga;837930;01.01.21;['pop', 'post-teen pop', 'dance pop']
133;Só Tem Eu;Zé Felipe;835306;01.01.21;['sertanejo pop', 'funk carioca']
134;Train Wreck;James Arthur;834129;01.01.21;['pop', 'uk pop', 'talent show', 'post-teen pop']
135;Closer;The Chainsmokers;833732;01.01.21;['pop', 'pop dance', 'tropical house', 'edm', 'electropop', 'dance pop']
136;Go Crazy;Chris Brown;832969;01.01.21;['pop rap', 'dance pop', 'pop', 'r&b', 'rap']
137;Godzilla (feat. Juice WRLD);Eminem;832822;01.01.21;['detroit hip hop', 'rap', 'hip hop']
138;Mi Cuarto;Jerry Di;831173;01.01.21;['pop venezolano', 'trap latino', 'cubaton', 'dominican pop', 'reggaeton', 'reggaeton flow']
139;Intentions (feat. Quavo);Justin Bieber;826972;01.01.21;['canadian pop', 'post-teen pop', 'pop']
140;ROXANNE;Arizona Zervas;826765;01.01.21;['rhode island rap', 'pop rap']
141;Mood Swings (feat. Lil Tjay);Pop Smoke;821341;01.01.21;['brooklyn drill']
142;I Don't Care (with Justin Bieber);Ed Sheeran;820795;01.01.21;['uk pop', 'pop']
143;Sofia;Clairo;815795;01.01.21;['bedroom pop', 'indie pop', 'pop']
144;Wake Me Up;Avicii;813667;01.01.21;['edm', 'pop dance', 'pop', 'dance pop']
145;Caramelo;Ozuna;812645;01.01.21;['puerto rican pop', 'trap latino', 'reggaeton', 'latin']
146;rockstar (feat. 21 Savage);Post Malone;812339;01.01.21;['dfw rap', 'melodic rap', 'rap']
147;Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track;Jack Harlow;811374;01.01.21;['kentucky hip hop', 'rap', 'deep underground hip hop', 'pop rap']
148;Daisy;Ashnikko;809411;01.01.21;['escape room', 'alt z', 'electropop', 'pop']
149;Believer;Imagine Dragons;809227;01.01.21;['modern rock', 'pop', 'rock']
150;All Girls Are The Same;Juice WRLD;808803;01.01.21;['melodic rap', 'chicago rap']
151;Angst;Apache 207;807475;01.01.21;['german hip hop']
152;Tyler Herro;Jack Harlow;806702;01.01.21;['kentucky hip hop', 'rap', 'deep underground hip hop', 'pop rap']
153;At My Worst;Pink Sweat$;802259;01.01.21;['bedroom soul', 'pop']
154;ily (i love you baby) (feat. Emilee);Surf Mesa;801493;01.01.21;['tropical house']
155;Dior;Pop Smoke;800589;01.01.21;['brooklyn drill']
156;Oh Juliana;Niack;795741;01.01.21;['funk carioca']
157;Way Out (feat. Big Sean);Jack Harlow;793634;01.01.21;['kentucky hip hop', 'rap', 'deep underground hip hop', 'pop rap']
158;Stuck with U (with Justin Bieber);Ariana Grande;791034;01.01.21;['pop', 'post-teen pop', 'dance pop']
159;my ex's best friend (with blackbear);Machine Gun Kelly;788382;01.01.21;['ohio hip hop', 'pop rap']
160;Jocelyn Flores;XXXTENTACION;777116;01.01.21;['miami hip hop', 'emo rap']
161;Heat Waves;Glass Animals;773896;01.01.21;['gauze pop', 'shiver pop', 'indietronica']
162;ALÔ AMBEV - funk remix;DJ Lucas Beat;773342;01.01.21;['sertanejo pop', 'funk carioca']
163;7 rings;Ariana Grande;770546;01.01.21;['pop', 'post-teen pop', 'dance pop']
164;If the World Was Ending - feat. Julia Michaels;JP Saxe;769541;01.01.21;['indie cafe pop', 'pop', 'canadian contemporary r&b', 'alt z', 'post-teen pop']
165;SICKO MODE;Travis Scott;763468;01.01.21;['slap house', 'rap']
166;champagne problems;Taylor Swift;761893;01.01.21;['pop', 'post-teen pop']
167;De Menina pra Mulher - Ao Vivo;Gusttavo Lima;759761;01.01.21;['sertanejo universitario', 'sertanejo']
168;7;Ufo361;758384;01.01.21;['german cloud rap', 'german hip hop']
169;Daddy Issues;The Neighbourhood;754635;01.01.21;['shimmer pop', 'modern rock', 'pop', 'modern alternative rock']
170;Pulei na Piscina - Ao Vivo;Guilherme & Benuto;752928;01.01.21;['axe', 'pagode', 'samba', 'samba reggae', 'sertanejo']
171;Hey Ya!;Outkast;750166;01.01.21;['hip hop', 'atl hip hop', 'dirty south rap', 'rap', 'southern hip hop']
172;How You Like That;BLACKPINK;747170;01.01.21;['k-pop girl group', 'k-pop']
173;Rainha da Favela;LUDMILLA;744290;01.01.21;['funk pop', 'pop nacional', 'funk carioca', 'pagode baiano']
174;Something Just Like This;The Chainsmokers;741206;01.01.21;['pop', 'pop dance', 'tropical house', 'edm', 'electropop', 'dance pop']
175;Perfect;Ed Sheeran;739354;01.01.21;['uk pop', 'pop']
