Position#Track Name#Artist#Streams#Date#Genre
1#DÁKITI#Bad Bunny#5065542#2021-01-01#['trap latino', 'reggaeton', 'latin']
2#Blinding Lights#The Weeknd#3764813#2021-01-01#['canadian pop', 'canadian contemporary r&b', 'pop']
3#BICHOTA#KAROL G#3560869#2021-01-01#['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
4#Mood (feat. iann dior)#24kGoldn#3402064#2021-01-01#['cali rap']
5#positions#Ariana Grande#2939820#2021-01-01#['pop', 'post-teen pop', 'dance pop']
6#34+35#Ariana Grande#2470575#2021-01-01#['pop', 'post-teen pop', 'dance pop']
7#Lemonade (feat. Gunna, Don Toliver & NAV)#Internet Money#2448371#2021-01-01#['trap', 'rap', 'pop rap']
8#LA NOCHE DE ANOCHE#Bad Bunny#2441850#2021-01-01#['trap latino', 'reggaeton', 'latin']
9#Dynamite#BTS#2372884#2021-01-01#['k-pop boy group', 'k-pop']
10#Hawái#Maluma#2305984#2021-01-01#['reggaeton colombiano', 'reggaeton', 'latin']
11#Levitating (feat. DaBaby)#Dua Lipa#2224633#2021-01-01#['uk pop', 'pop', 'dance pop']
12#Watermelon Sugar#Harry Styles#2199194#2021-01-01#['pop', 'post-teen pop']
13#Roses - Imanbek Remix#SAINt JHN#2149916#2021-01-01#['melodic rap', 'slap house', 'rap', 'pop rap']
14#Whoopty#CJ#2131988#2021-01-01#['nyc rap']
15#Anyone#Justin Bieber#2095920#2021-01-01#['canadian pop', 'post-teen pop', 'pop']
16#WAP (feat. Megan Thee Stallion)#Cardi B#2071860#2021-01-01#['pop rap', 'pop', 'rap', 'dance pop']
17#Dance Monkey#Tones And I#2067874#2021-01-01#['australian pop', 'pop']
18#Therefore I Am#Billie Eilish#2005643#2021-01-01#['pop', 'electropop']
19#WITHOUT YOU#The Kid LAROI#1988730#2021-01-01#['australian hip hop']
20#What You Know Bout Love#Pop Smoke#1929832#2021-01-01#['brooklyn drill']
21#HOLIDAY#Lil Nas X#1823908#2021-01-01#['lgbtq+ hip hop', 'pop rap']
22#ROCKSTAR (feat. Roddy Ricch)#DaBaby#1748248#2021-01-01#['north carolina hip hop', 'rap']
23#Head & Heart (feat. MNEK)#Joel Corry#1727979#2021-01-01#['uk dance', 'pop dance', 'tropical house', 'dance pop', 'edm']
24#Monster (Shawn Mendes & Justin Bieber)#Shawn Mendes#1725649#2021-01-01#['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
25#Reloj#Rauw Alejandro#1712947#2021-01-01#['puerto rican pop', 'trap latino']
26#Afterglow#Ed Sheeran#1701822#2021-01-01#['uk pop', 'pop']
27#Hecha Pa' Mi#Boza#1688021#2021-01-01#['reggaeton']
28#Recairei - Ao Vivo#Os Barões Da Pisadinha#1635175#2021-01-01#['piseiro', 'forro']
29#Vida de Rico#Camilo#1629086#2021-01-01#['reggaeton colombiano', 'colombian pop']
30#La Nota#Manuel Turizo#1617356#2021-01-01#['reggaeton colombiano', 'colombian pop', 'reggaeton', 'trap latino', 'latin']
31#Don't Start Now#Dua Lipa#1612486#2021-01-01#['uk pop', 'pop', 'dance pop']
32#Chica Ideal#Sebastian Yatra#1611983#2021-01-01#['reggaeton colombiano', 'colombian pop', 'reggaeton', 'latin']
33#willow#Taylor Swift#1605305#2021-01-01#['pop', 'post-teen pop']
34#La Tóxica#Farruko#1560396#2021-01-01#['reggaeton', 'latin', 'latin hip hop', 'trap latino']
35#Relación - Remix#Sech#1553585#2021-01-01#['panamanian pop', 'trap latino', 'reggaeton', 'latin']
36#you broke me first#Tate McRae#1552182#2021-01-01#['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
37#For The Night (feat. Lil Baby & DaBaby)#Pop Smoke#1551800#2021-01-01#['brooklyn drill']
38#Lonely (with benny blanco)#Justin Bieber#1536660#2021-01-01#['canadian pop', 'post-teen pop', 'pop']
39#Snowman#Sia#1535647#2021-01-01#['pop', 'australian dance', 'australian pop', 'dance pop']
40#Savage Love (Laxed - Siren Beat)#Jawsh 685#1498796#2021-01-01#['nz pop']
41#Prisoner (feat. Dua Lipa)#Miley Cyrus#1479065#2021-01-01#['pop', 'post-teen pop', 'dance pop']
42#Someone You Loved#Lewis Capaldi#1470606#2021-01-01#['uk pop', 'pop']
43#BEBÉ#Camilo#1462154#2021-01-01#['reggaeton colombiano', 'colombian pop']
