Position;TrackName;Artist;Streams;Date;Genre
1;DÁKITI;Bad Bunny;5065542;01.01.21;['trap latino', 'reggaeton', 'latin']
2;Blinding Lights;The Weeknd;3764813;01.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
3;BICHOTA;KAROL G;3560869;01.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
4;Mood (feat. iann dior);24kGoldn;3402064;01.01.21;['cali rap']
5;positions;Ariana Grande;2939820;01.01.21;['pop', 'post-teen pop', 'dance pop']
6;34+35;Ariana Grande;2470575;01.01.21;['pop', 'post-teen pop', 'dance pop']
7;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2448371;01.01.21;['trap', 'rap', 'pop rap']
8;LA NOCHE DE ANOCHE;Bad Bunny;2441850;01.01.21;['trap latino', 'reggaeton', 'latin']
9;Dynamite;BTS;2372884;01.01.21;['k-pop boy group', 'k-pop']
10;Hawái;Maluma;2305984;01.01.21;['reggaeton colombiano', 'reggaeton', 'latin']
11;Levitating (feat. DaBaby);Dua Lipa;2224633;01.01.21;['uk pop', 'pop', 'dance pop']
12;Watermelon Sugar;Harry Styles;2199194;01.01.21;['pop', 'post-teen pop']
13;Roses - Imanbek Remix;SAINt JHN;2149916;01.01.21;['melodic rap', 'slap house', 'rap', 'pop rap']
14;Whoopty;CJ;2131988;01.01.21;['nyc rap']
15;Anyone;Justin Bieber;2095920;01.01.21;['canadian pop', 'post-teen pop', 'pop']
16;WAP (feat. Megan Thee Stallion);Cardi B;2071860;01.01.21;['pop rap', 'pop', 'rap', 'dance pop']
17;Dance Monkey;Tones And I;2067874;01.01.21;['australian pop', 'pop']
18;Therefore I Am;Billie Eilish;2005643;01.01.21;['pop', 'electropop']
19;WITHOUT YOU;The Kid LAROI;1988730;01.01.21;['australian hip hop']
20;What You Know Bout Love;Pop Smoke;1929832;01.01.21;['brooklyn drill']
1;DÁKITI;Bad Bunny;4375903;02.01.21;['trap latino', 'reggaeton', 'latin']
2;Mood (feat. iann dior);24kGoldn;3319055;02.01.21;['cali rap']
3;Blinding Lights;The Weeknd;3216694;02.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;positions;Ariana Grande;3019358;02.01.21;['pop', 'post-teen pop', 'dance pop']
5;Anyone;Justin Bieber;3011498;02.01.21;['canadian pop', 'post-teen pop', 'pop']
6;BICHOTA;KAROL G;2959615;02.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
7;34+35;Ariana Grande;2708740;02.01.21;['pop', 'post-teen pop', 'dance pop']
8;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2565080;02.01.21;['trap', 'rap', 'pop rap']
9;Dynamite;BTS;2476161;02.01.21;['k-pop boy group', 'k-pop']
10;LA NOCHE DE ANOCHE;Bad Bunny;2363945;02.01.21;['trap latino', 'reggaeton', 'latin']
11;Whoopty;CJ;2344774;02.01.21;['nyc rap']
12;WITHOUT YOU;The Kid LAROI;2263913;02.01.21;['australian hip hop']
13;Therefore I Am;Billie Eilish;2225413;02.01.21;['pop', 'electropop']
14;Levitating (feat. DaBaby);Dua Lipa;2151574;02.01.21;['uk pop', 'pop', 'dance pop']
15;What You Know Bout Love;Pop Smoke;2081783;02.01.21;['brooklyn drill']
16;Watermelon Sugar;Harry Styles;2001470;02.01.21;['pop', 'post-teen pop']
17;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;1992073;02.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
18;Afterglow;Ed Sheeran;1963398;02.01.21;['uk pop', 'pop']
19;HOLIDAY;Lil Nas X;1930371;02.01.21;['lgbtq+ hip hop', 'pop rap']
20;Hawái;Maluma;1878699;02.01.21;['reggaeton colombiano', 'reggaeton', 'latin']
1;DÁKITI;Bad Bunny;4231750;03.01.21;['trap latino', 'reggaeton', 'latin']
2;Mood (feat. iann dior);24kGoldn;3155325;03.01.21;['cali rap']
3;Blinding Lights;The Weeknd;2991466;03.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;positions;Ariana Grande;2897277;03.01.21;['pop', 'post-teen pop', 'dance pop']
5;BICHOTA;KAROL G;2865720;03.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
6;Anyone;Justin Bieber;2771319;03.01.21;['canadian pop', 'post-teen pop', 'pop']
7;34+35;Ariana Grande;2630130;03.01.21;['pop', 'post-teen pop', 'dance pop']
8;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2442006;03.01.21;['trap', 'rap', 'pop rap']
9;Dynamite;BTS;2394081;03.01.21;['k-pop boy group', 'k-pop']
10;LA NOCHE DE ANOCHE;Bad Bunny;2309010;03.01.21;['trap latino', 'reggaeton', 'latin']
11;Whoopty;CJ;2241820;03.01.21;['nyc rap']
12;WITHOUT YOU;The Kid LAROI;2235170;03.01.21;['australian hip hop']
13;Therefore I Am;Billie Eilish;2151753;03.01.21;['pop', 'electropop']
14;Levitating (feat. DaBaby);Dua Lipa;2040863;03.01.21;['uk pop', 'pop', 'dance pop']
15;What You Know Bout Love;Pop Smoke;2014781;03.01.21;['brooklyn drill']
16;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;1929914;03.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
17;Afterglow;Ed Sheeran;1876413;03.01.21;['uk pop', 'pop']
18;Watermelon Sugar;Harry Styles;1866894;03.01.21;['pop', 'post-teen pop']
19;HOLIDAY;Lil Nas X;1836869;03.01.21;['lgbtq+ hip hop', 'pop rap']
20;you broke me first;Tate McRae;1828608;03.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
1;DÁKITI;Bad Bunny;4504239;04.01.21;['trap latino', 'reggaeton', 'latin']
2;Mood (feat. iann dior);24kGoldn;3407673;04.01.21;['cali rap']
3;positions;Ariana Grande;3247976;04.01.21;['pop', 'post-teen pop', 'dance pop']
4;Anyone;Justin Bieber;3227617;04.01.21;['canadian pop', 'post-teen pop', 'pop']
5;Blinding Lights;The Weeknd;3191368;04.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
6;BICHOTA;KAROL G;2985572;04.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
7;34+35;Ariana Grande;2939282;04.01.21;['pop', 'post-teen pop', 'dance pop']
8;Dynamite;BTS;2681626;04.01.21;['k-pop boy group', 'k-pop']
9;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2653067;04.01.21;['trap', 'rap', 'pop rap']
10;Whoopty;CJ;2533836;04.01.21;['nyc rap']
11;WITHOUT YOU;The Kid LAROI;2530614;04.01.21;['australian hip hop']
12;LA NOCHE DE ANOCHE;Bad Bunny;2528405;04.01.21;['trap latino', 'reggaeton', 'latin']
13;Therefore I Am;Billie Eilish;2415627;04.01.21;['pop', 'electropop']
14;Levitating (feat. DaBaby);Dua Lipa;2308809;04.01.21;['uk pop', 'pop', 'dance pop']
15;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;2219339;04.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
16;What You Know Bout Love;Pop Smoke;2202414;04.01.21;['brooklyn drill']
17;Afterglow;Ed Sheeran;2164688;04.01.21;['uk pop', 'pop']
18;willow;Taylor Swift;2073454;04.01.21;['pop', 'post-teen pop']
19;Watermelon Sugar;Harry Styles;2038715;04.01.21;['pop', 'post-teen pop']
20;HOLIDAY;Lil Nas X;2030180;04.01.21;['lgbtq+ hip hop', 'pop rap']
1;DÁKITI;Bad Bunny;4510722;05.01.21;['trap latino', 'reggaeton', 'latin']
2;Mood (feat. iann dior);24kGoldn;3412220;05.01.21;['cali rap']
3;positions;Ariana Grande;3249536;05.01.21;['pop', 'post-teen pop', 'dance pop']
4;Anyone;Justin Bieber;3236322;05.01.21;['canadian pop', 'post-teen pop', 'pop']
5;Blinding Lights;The Weeknd;3230032;05.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
6;BICHOTA;KAROL G;3025621;05.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
7;34+35;Ariana Grande;2954946;05.01.21;['pop', 'post-teen pop', 'dance pop']
8;Dynamite;BTS;2714434;05.01.21;['k-pop boy group', 'k-pop']
9;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2672240;05.01.21;['trap', 'rap', 'pop rap']
10;LA NOCHE DE ANOCHE;Bad Bunny;2555217;05.01.21;['trap latino', 'reggaeton', 'latin']
11;Whoopty;CJ;2548963;05.01.21;['nyc rap']
12;WITHOUT YOU;The Kid LAROI;2544934;05.01.21;['australian hip hop']
13;Therefore I Am;Billie Eilish;2412604;05.01.21;['pop', 'electropop']
14;Levitating (feat. DaBaby);Dua Lipa;2336427;05.01.21;['uk pop', 'pop', 'dance pop']
15;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;2248815;05.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
16;Afterglow;Ed Sheeran;2205874;05.01.21;['uk pop', 'pop']
17;What You Know Bout Love;Pop Smoke;2202749;05.01.21;['brooklyn drill']
18;Watermelon Sugar;Harry Styles;2058963;05.01.21;['pop', 'post-teen pop']
19;willow;Taylor Swift;2034571;05.01.21;['pop', 'post-teen pop']
20;you broke me first;Tate McRae;2025181;05.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
1;DÁKITI;Bad Bunny;4395070;06.01.21;['trap latino', 'reggaeton', 'latin']
2;Mood (feat. iann dior);24kGoldn;3350971;06.01.21;['cali rap']
3;Blinding Lights;The Weeknd;3254538;06.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;positions;Ariana Grande;3206425;06.01.21;['pop', 'post-teen pop', 'dance pop']
5;Anyone;Justin Bieber;3138288;06.01.21;['canadian pop', 'post-teen pop', 'pop']
6;BICHOTA;KAROL G;2988849;06.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
7;34+35;Ariana Grande;2910425;06.01.21;['pop', 'post-teen pop', 'dance pop']
8;Dynamite;BTS;2663465;06.01.21;['k-pop boy group', 'k-pop']
9;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2653725;06.01.21;['trap', 'rap', 'pop rap']
10;Whoopty;CJ;2511741;06.01.21;['nyc rap']
11;LA NOCHE DE ANOCHE;Bad Bunny;2497906;06.01.21;['trap latino', 'reggaeton', 'latin']
12;WITHOUT YOU;The Kid LAROI;2492083;06.01.21;['australian hip hop']
13;Therefore I Am;Billie Eilish;2351047;06.01.21;['pop', 'electropop']
14;Levitating (feat. DaBaby);Dua Lipa;2282158;06.01.21;['uk pop', 'pop', 'dance pop']
15;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;2196673;06.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
16;What You Know Bout Love;Pop Smoke;2171156;06.01.21;['brooklyn drill']
17;Afterglow;Ed Sheeran;2108076;06.01.21;['uk pop', 'pop']
18;Good Days;SZA;2068353;06.01.21;['pop', 'r&b', 'pop rap']
19;you broke me first;Tate McRae;2019414;06.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
20;Watermelon Sugar;Harry Styles;2017552;06.01.21;['pop', 'post-teen pop']
1;DÁKITI;Bad Bunny;4461715;07.01.21;['trap latino', 'reggaeton', 'latin']
2;Mood (feat. iann dior);24kGoldn;3414046;07.01.21;['cali rap']
3;Blinding Lights;The Weeknd;3332131;07.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;positions;Ariana Grande;3201275;07.01.21;['pop', 'post-teen pop', 'dance pop']
5;Anyone;Justin Bieber;3159532;07.01.21;['canadian pop', 'post-teen pop', 'pop']
6;BICHOTA;KAROL G;3038033;07.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
7;34+35;Ariana Grande;2904036;07.01.21;['pop', 'post-teen pop', 'dance pop']
8;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2673584;07.01.21;['trap', 'rap', 'pop rap']
9;Dynamite;BTS;2649780;07.01.21;['k-pop boy group', 'k-pop']
10;WITHOUT YOU;The Kid LAROI;2583402;07.01.21;['australian hip hop']
11;LA NOCHE DE ANOCHE;Bad Bunny;2573548;07.01.21;['trap latino', 'reggaeton', 'latin']
12;Whoopty;CJ;2552444;07.01.21;['nyc rap']
13;Therefore I Am;Billie Eilish;2366336;07.01.21;['pop', 'electropop']
14;Levitating (feat. DaBaby);Dua Lipa;2295977;07.01.21;['uk pop', 'pop', 'dance pop']
15;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;2225794;07.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
16;Good Days;SZA;2179984;07.01.21;['pop', 'r&b', 'pop rap']
17;What You Know Bout Love;Pop Smoke;2161160;07.01.21;['brooklyn drill']
18;Afterglow;Ed Sheeran;2119630;07.01.21;['uk pop', 'pop']
19;you broke me first;Tate McRae;2041290;07.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
20;Watermelon Sugar;Harry Styles;2022380;07.01.21;['pop', 'post-teen pop']
1;DÁKITI;Bad Bunny;4708270;08.01.21;['trap latino', 'reggaeton', 'latin']
2;Mood (feat. iann dior);24kGoldn;3591994;08.01.21;['cali rap']
3;Blinding Lights;The Weeknd;3562513;08.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;Anyone;Justin Bieber;3327798;08.01.21;['canadian pop', 'post-teen pop', 'pop']
5;positions;Ariana Grande;3289956;08.01.21;['pop', 'post-teen pop', 'dance pop']
6;BICHOTA;KAROL G;3271313;08.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
7;34+35;Ariana Grande;3070054;08.01.21;['pop', 'post-teen pop', 'dance pop']
8;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2783640;08.01.21;['trap', 'rap', 'pop rap']
9;Whoopty;CJ;2783173;08.01.21;['nyc rap']
10;WITHOUT YOU;The Kid LAROI;2757836;08.01.21;['australian hip hop']
11;LA NOCHE DE ANOCHE;Bad Bunny;2749591;08.01.21;['trap latino', 'reggaeton', 'latin']
12;Dynamite;BTS;2678005;08.01.21;['k-pop boy group', 'k-pop']
13;Therefore I Am;Billie Eilish;2496666;08.01.21;['pop', 'electropop']
14;Good Days;SZA;2455996;08.01.21;['pop', 'r&b', 'pop rap']
15;Levitating (feat. DaBaby);Dua Lipa;2383754;08.01.21;['uk pop', 'pop', 'dance pop']
16;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;2269711;08.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
17;What You Know Bout Love;Pop Smoke;2266314;08.01.21;['brooklyn drill']
18;Hecha Pa' Mi;Boza;2224277;08.01.21;['reggaeton']
19;Bandido;Myke Towers;2210280;08.01.21;['trap latino']
20;Head & Heart (feat. MNEK);Joel Corry;2110726;08.01.21;['uk dance', 'pop dance', 'tropical house', 'dance pop', 'edm']
1;DÁKITI;Bad Bunny;4697088;09.01.21;['trap latino', 'reggaeton', 'latin']
2;drivers license;Olivia Rodrigo;4601934;09.01.21;['pop']
3;Blinding Lights;The Weeknd;3584931;09.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;Mood (feat. iann dior);24kGoldn;3577581;09.01.21;['cali rap']
5;BICHOTA;KAROL G;3337976;09.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
6;positions;Ariana Grande;3164896;09.01.21;['pop', 'post-teen pop', 'dance pop']
7;Anyone;Justin Bieber;3066592;09.01.21;['canadian pop', 'post-teen pop', 'pop']
8;34+35;Ariana Grande;2995705;09.01.21;['pop', 'post-teen pop', 'dance pop']
9;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2765773;09.01.21;['trap', 'rap', 'pop rap']
10;Whoopty;CJ;2739089;09.01.21;['nyc rap']
11;LA NOCHE DE ANOCHE;Bad Bunny;2707667;09.01.21;['trap latino', 'reggaeton', 'latin']
12;WITHOUT YOU;The Kid LAROI;2650599;09.01.21;['australian hip hop']
13;Dynamite;BTS;2626956;09.01.21;['k-pop boy group', 'k-pop']
14;Therefore I Am;Billie Eilish;2434844;09.01.21;['pop', 'electropop']
15;Good Days;SZA;2418125;09.01.21;['pop', 'r&b', 'pop rap']
16;Levitating (feat. DaBaby);Dua Lipa;2340328;09.01.21;['uk pop', 'pop', 'dance pop']
17;Hecha Pa' Mi;Boza;2259744;09.01.21;['reggaeton']
18;What You Know Bout Love;Pop Smoke;2248021;09.01.21;['brooklyn drill']
19;Bandido;Myke Towers;2220051;09.01.21;['trap latino']
20;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;2176787;09.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
1;drivers license;Olivia Rodrigo;7478692;10.01.21;['pop']
2;DÁKITI;Bad Bunny;4207922;10.01.21;['trap latino', 'reggaeton', 'latin']
3;Blinding Lights;The Weeknd;3235622;10.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;Mood (feat. iann dior);24kGoldn;3197601;10.01.21;['cali rap']
5;BICHOTA;KAROL G;3032246;10.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
6;positions;Ariana Grande;2835719;10.01.21;['pop', 'post-teen pop', 'dance pop']
7;34+35;Ariana Grande;2743295;10.01.21;['pop', 'post-teen pop', 'dance pop']
8;Anyone;Justin Bieber;2691705;10.01.21;['canadian pop', 'post-teen pop', 'pop']
9;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2443281;10.01.21;['trap', 'rap', 'pop rap']
10;LA NOCHE DE ANOCHE;Bad Bunny;2438451;10.01.21;['trap latino', 'reggaeton', 'latin']
11;Whoopty;CJ;2424278;10.01.21;['nyc rap']
12;WITHOUT YOU;The Kid LAROI;2417658;10.01.21;['australian hip hop']
13;Dynamite;BTS;2407999;10.01.21;['k-pop boy group', 'k-pop']
14;Good Days;SZA;2315736;10.01.21;['pop', 'r&b', 'pop rap']
15;Therefore I Am;Billie Eilish;2190190;10.01.21;['pop', 'electropop']
16;Levitating (feat. DaBaby);Dua Lipa;2066760;10.01.21;['uk pop', 'pop', 'dance pop']
17;Bandido;Myke Towers;2048808;10.01.21;['trap latino']
18;Hecha Pa' Mi;Boza;2043969;10.01.21;['reggaeton']
19;What You Know Bout Love;Pop Smoke;2035554;10.01.21;['brooklyn drill']
20;you broke me first;Tate McRae;1956588;10.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
1;drivers license;Olivia Rodrigo;11510867;11.01.21;['pop']
2;DÁKITI;Bad Bunny;4186700;11.01.21;['trap latino', 'reggaeton', 'latin']
3;Blinding Lights;The Weeknd;3362044;11.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;Mood (feat. iann dior);24kGoldn;3294072;11.01.21;['cali rap']
5;positions;Ariana Grande;3071237;11.01.21;['pop', 'post-teen pop', 'dance pop']
6;Anyone;Justin Bieber;3000315;11.01.21;['canadian pop', 'post-teen pop', 'pop']
7;34+35;Ariana Grande;2978569;11.01.21;['pop', 'post-teen pop', 'dance pop']
8;BICHOTA;KAROL G;2954230;11.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
9;WITHOUT YOU;The Kid LAROI;2674451;11.01.21;['australian hip hop']
10;Good Days;SZA;2643384;11.01.21;['pop', 'r&b', 'pop rap']
11;Dynamite;BTS;2582075;11.01.21;['k-pop boy group', 'k-pop']
12;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2574797;11.01.21;['trap', 'rap', 'pop rap']
13;Whoopty;CJ;2572622;11.01.21;['nyc rap']
14;LA NOCHE DE ANOCHE;Bad Bunny;2491666;11.01.21;['trap latino', 'reggaeton', 'latin']
15;Therefore I Am;Billie Eilish;2376153;11.01.21;['pop', 'electropop']
16;Levitating (feat. DaBaby);Dua Lipa;2278174;11.01.21;['uk pop', 'pop', 'dance pop']
17;you broke me first;Tate McRae;2163046;11.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
18;Bandido;Myke Towers;2153112;11.01.21;['trap latino']
19;Hecha Pa' Mi;Boza;2141241;11.01.21;['reggaeton']
20;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;2123895;11.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
1;drivers license;Olivia Rodrigo;13412192;12.01.21;['pop']
2;DÁKITI;Bad Bunny;4262730;12.01.21;['trap latino', 'reggaeton', 'latin']
3;Blinding Lights;The Weeknd;3377793;12.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;Mood (feat. iann dior);24kGoldn;3329117;12.01.21;['cali rap']
5;positions;Ariana Grande;3106740;12.01.21;['pop', 'post-teen pop', 'dance pop']
6;Anyone;Justin Bieber;3061998;12.01.21;['canadian pop', 'post-teen pop', 'pop']
7;34+35;Ariana Grande;3039291;12.01.21;['pop', 'post-teen pop', 'dance pop']
8;BICHOTA;KAROL G;3024639;12.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
9;Good Days;SZA;2763875;12.01.21;['pop', 'r&b', 'pop rap']
10;WITHOUT YOU;The Kid LAROI;2747184;12.01.21;['australian hip hop']
11;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2625962;12.01.21;['trap', 'rap', 'pop rap']
12;Whoopty;CJ;2599125;12.01.21;['nyc rap']
13;Dynamite;BTS;2590666;12.01.21;['k-pop boy group', 'k-pop']
14;LA NOCHE DE ANOCHE;Bad Bunny;2553509;12.01.21;['trap latino', 'reggaeton', 'latin']
15;Therefore I Am;Billie Eilish;2388978;12.01.21;['pop', 'electropop']
16;Levitating (feat. DaBaby);Dua Lipa;2361536;12.01.21;['uk pop', 'pop', 'dance pop']
17;Bandido;Myke Towers;2256100;12.01.21;['trap latino']
18;you broke me first;Tate McRae;2224703;12.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
19;Hecha Pa' Mi;Boza;2223007;12.01.21;['reggaeton']
20;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;2143675;12.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
1;drivers license;Olivia Rodrigo;13628143;13.01.21;['pop']
2;DÁKITI;Bad Bunny;4278816;13.01.21;['trap latino', 'reggaeton', 'latin']
3;Blinding Lights;The Weeknd;3359693;13.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;Mood (feat. iann dior);24kGoldn;3354811;13.01.21;['cali rap']
5;positions;Ariana Grande;3119695;13.01.21;['pop', 'post-teen pop', 'dance pop']
6;34+35;Ariana Grande;3079289;13.01.21;['pop', 'post-teen pop', 'dance pop']
7;BICHOTA;KAROL G;3016967;13.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
8;Anyone;Justin Bieber;3002502;13.01.21;['canadian pop', 'post-teen pop', 'pop']
9;Good Days;SZA;2823084;13.01.21;['pop', 'r&b', 'pop rap']
10;WITHOUT YOU;The Kid LAROI;2771766;13.01.21;['australian hip hop']
11;Whoopty;CJ;2629116;13.01.21;['nyc rap']
12;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2622357;13.01.21;['trap', 'rap', 'pop rap']
13;Dynamite;BTS;2616301;13.01.21;['k-pop boy group', 'k-pop']
14;LA NOCHE DE ANOCHE;Bad Bunny;2546788;13.01.21;['trap latino', 'reggaeton', 'latin']
15;Levitating (feat. DaBaby);Dua Lipa;2389083;13.01.21;['uk pop', 'pop', 'dance pop']
16;Therefore I Am;Billie Eilish;2386862;13.01.21;['pop', 'electropop']
17;Bandido;Myke Towers;2302120;13.01.21;['trap latino']
18;Hecha Pa' Mi;Boza;2237212;13.01.21;['reggaeton']
19;you broke me first;Tate McRae;2233200;13.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
20;What You Know Bout Love;Pop Smoke;2139725;13.01.21;['brooklyn drill']
1;drivers license;Olivia Rodrigo;13701177;14.01.21;['pop']
2;DÁKITI;Bad Bunny;4349367;14.01.21;['trap latino', 'reggaeton', 'latin']
3;Blinding Lights;The Weeknd;3359394;14.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;Mood (feat. iann dior);24kGoldn;3325239;14.01.21;['cali rap']
5;34+35;Ariana Grande;3159700;14.01.21;['pop', 'post-teen pop', 'dance pop']
6;positions;Ariana Grande;3113144;14.01.21;['pop', 'post-teen pop', 'dance pop']
7;BICHOTA;KAROL G;3068696;14.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
8;Anyone;Justin Bieber;2918220;14.01.21;['canadian pop', 'post-teen pop', 'pop']
9;Good Days;SZA;2858961;14.01.21;['pop', 'r&b', 'pop rap']
10;WITHOUT YOU;The Kid LAROI;2765593;14.01.21;['australian hip hop']
11;Whoopty;CJ;2666620;14.01.21;['nyc rap']
12;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2609449;14.01.21;['trap', 'rap', 'pop rap']
13;Dynamite;BTS;2592312;14.01.21;['k-pop boy group', 'k-pop']
14;LA NOCHE DE ANOCHE;Bad Bunny;2573178;14.01.21;['trap latino', 'reggaeton', 'latin']
15;Levitating (feat. DaBaby);Dua Lipa;2418275;14.01.21;['uk pop', 'pop', 'dance pop']
16;Bandido;Myke Towers;2400019;14.01.21;['trap latino']
17;Therefore I Am;Billie Eilish;2384953;14.01.21;['pop', 'electropop']
18;Hecha Pa' Mi;Boza;2277936;14.01.21;['reggaeton']
19;Save Your Tears;The Weeknd;2236741;14.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
20;you broke me first;Tate McRae;2215420;14.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
1;drivers license;Olivia Rodrigo;13714177;15.01.21;['pop']
2;DÁKITI;Bad Bunny;4596678;15.01.21;['trap latino', 'reggaeton', 'latin']
3;Mood (feat. iann dior);24kGoldn;3528454;15.01.21;['cali rap']
4;Blinding Lights;The Weeknd;3519519;15.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
5;34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix;Ariana Grande;3488986;15.01.21;['pop', 'post-teen pop', 'dance pop']
6;positions;Ariana Grande;3246185;15.01.21;['pop', 'post-teen pop', 'dance pop']
7;BICHOTA;KAROL G;3217106;15.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
8;Anyone;Justin Bieber;3076077;15.01.21;['canadian pop', 'post-teen pop', 'pop']
9;Good Days;SZA;3014192;15.01.21;['pop', 'r&b', 'pop rap']
10;WITHOUT YOU;The Kid LAROI;2907617;15.01.21;['australian hip hop']
11;Whoopty;CJ;2874607;15.01.21;['nyc rap']
12;34+35;Ariana Grande;2802308;15.01.21;['pop', 'post-teen pop', 'dance pop']
13;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2730982;15.01.21;['trap', 'rap', 'pop rap']
14;LA NOCHE DE ANOCHE;Bad Bunny;2695027;15.01.21;['trap latino', 'reggaeton', 'latin']
15;Dynamite;BTS;2597856;15.01.21;['k-pop boy group', 'k-pop']
16;Bandido;Myke Towers;2588564;15.01.21;['trap latino']
17;Levitating (feat. DaBaby);Dua Lipa;2587334;15.01.21;['uk pop', 'pop', 'dance pop']
18;Save Your Tears;The Weeknd;2511229;15.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
19;Hecha Pa' Mi;Boza;2454619;15.01.21;['reggaeton']
20;Bad Boy (with Young Thug);Juice WRLD;2421604;15.01.21;['melodic rap', 'chicago rap']
1;drivers license;Olivia Rodrigo;12110121;16.01.21;['pop']
2;DÁKITI;Bad Bunny;4693843;16.01.21;['trap latino', 'reggaeton', 'latin']
